sample1_name,sample2_name,sample1_mos,sample2_mos
cauliflower_geo_26_col_26.ply,cauliflower_geo_26_col_32.ply,87.20621668,89.47069544
cauliflower_geo_26_col_26.ply,cauliflower_geo_26_col_38.ply,87.20621668,78.97371118
cauliflower_geo_26_col_26.ply,cauliflower_geo_26_col_44.ply,87.20621668,58.22488108
cauliflower_geo_26_col_26.ply,cauliflower_geo_26_col_50.ply,87.20621668,41.74612013
cauliflower_geo_26_col_26.ply,cauliflower_geo_32_col_26.ply,87.20621668,86.61105975
cauliflower_geo_26_col_26.ply,cauliflower_geo_32_col_32.ply,87.20621668,85.04592101
cauliflower_geo_26_col_26.ply,cauliflower_geo_32_col_38.ply,87.20621668,81.66321717
cauliflower_geo_26_col_26.ply,cauliflower_geo_32_col_44.ply,87.20621668,65.38341444
cauliflower_geo_26_col_26.ply,cauliflower_geo_32_col_50.ply,87.20621668,44.40441316
cauliflower_geo_26_col_26.ply,cauliflower_geo_38_col_26.ply,87.20621668,81.93663428
cauliflower_geo_26_col_26.ply,cauliflower_geo_38_col_32.ply,87.20621668,75.58424576
cauliflower_geo_26_col_26.ply,cauliflower_geo_38_col_38.ply,87.20621668,70.5368655
cauliflower_geo_26_col_26.ply,cauliflower_geo_38_col_44.ply,87.20621668,63.45693263
cauliflower_geo_26_col_26.ply,cauliflower_geo_38_col_50.ply,87.20621668,40.83049936
cauliflower_geo_26_col_26.ply,cauliflower_geo_44_col_26.ply,87.20621668,54.73559138
cauliflower_geo_26_col_26.ply,cauliflower_geo_44_col_32.ply,87.20621668,55.73359505
cauliflower_geo_26_col_26.ply,cauliflower_geo_44_col_38.ply,87.20621668,49.52146992
cauliflower_geo_26_col_26.ply,cauliflower_geo_44_col_44.ply,87.20621668,40.66558716
cauliflower_geo_26_col_26.ply,cauliflower_geo_44_col_50.ply,87.20621668,30.08829305
cauliflower_geo_26_col_26.ply,cauliflower_geo_50_col_26.ply,87.20621668,36.29626352
cauliflower_geo_26_col_26.ply,cauliflower_geo_50_col_32.ply,87.20621668,28.65014645
cauliflower_geo_26_col_26.ply,cauliflower_geo_50_col_38.ply,87.20621668,25.68950851
cauliflower_geo_26_col_26.ply,cauliflower_geo_50_col_44.ply,87.20621668,26.45332869
cauliflower_geo_26_col_26.ply,cauliflower_geo_50_col_50.ply,87.20621668,21.3149532
cauliflower_geo_26_col_26.ply,flowerpot_geo_26_col_26.ply,87.20621668,86.7946709
cauliflower_geo_26_col_26.ply,flowerpot_geo_26_col_32.ply,87.20621668,86.66088587
cauliflower_geo_26_col_26.ply,flowerpot_geo_26_col_38.ply,87.20621668,85.7233513
cauliflower_geo_26_col_26.ply,flowerpot_geo_26_col_44.ply,87.20621668,80.80124628
cauliflower_geo_26_col_26.ply,flowerpot_geo_26_col_50.ply,87.20621668,64.47383213
cauliflower_geo_26_col_26.ply,flowerpot_geo_32_col_26.ply,87.20621668,81.89446911
cauliflower_geo_26_col_26.ply,flowerpot_geo_32_col_32.ply,87.20621668,80.89103366
cauliflower_geo_26_col_26.ply,flowerpot_geo_32_col_38.ply,87.20621668,72.65340567
cauliflower_geo_26_col_26.ply,flowerpot_geo_32_col_44.ply,87.20621668,76.04629405
cauliflower_geo_26_col_26.ply,flowerpot_geo_32_col_50.ply,87.20621668,60.74870466
cauliflower_geo_26_col_26.ply,flowerpot_geo_38_col_26.ply,87.20621668,65.14095839
cauliflower_geo_26_col_26.ply,flowerpot_geo_38_col_32.ply,87.20621668,62.0622075
cauliflower_geo_26_col_26.ply,flowerpot_geo_38_col_38.ply,87.20621668,59.18671483
cauliflower_geo_26_col_26.ply,flowerpot_geo_38_col_44.ply,87.20621668,53.24044181
cauliflower_geo_26_col_26.ply,flowerpot_geo_38_col_50.ply,87.20621668,45.49946523
cauliflower_geo_26_col_26.ply,flowerpot_geo_44_col_26.ply,87.20621668,36.43043802
cauliflower_geo_26_col_26.ply,flowerpot_geo_44_col_32.ply,87.20621668,37.77810687
cauliflower_geo_26_col_26.ply,flowerpot_geo_44_col_38.ply,87.20621668,41.18511639
cauliflower_geo_26_col_26.ply,flowerpot_geo_44_col_44.ply,87.20621668,40.79568423
cauliflower_geo_26_col_26.ply,flowerpot_geo_44_col_50.ply,87.20621668,31.62238645
cauliflower_geo_26_col_26.ply,flowerpot_geo_50_col_26.ply,87.20621668,24.57202116
cauliflower_geo_26_col_26.ply,flowerpot_geo_50_col_32.ply,87.20621668,26.37969306
